person,cand_row,book,juan,sentence,source_file,alias_in_sentence
李尤,166,後漢書,第七十六章:文苑列传上,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉。,data/raw/mirror/後漢書/列传/第七十六章-文苑列传上.txt,
李尤,167,後漢書,第七十六章:文苑列传上,顺帝时，为侍中。,data/raw/mirror/後漢書/列传/第七十六章-文苑列传上.txt,
李尤,1373,後漢書,80上,{{YL|永-{寧}-元年}}，太-{後}-又詔珍與騊駼作建武已來名臣傳，遷侍中、越騎校尉。,data/raw/後漢書/卷80上.txt,
任安,168,後漢書,第七十四章:儒林列传上,征拜议郎，稍迁侍中、弘农太守。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
任安,169,後漢書,第七十四章:儒林列传上,永平初，迁侍中祭酒。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
任安,170,後漢書,第七十四章:儒林列传上,帝善之，拜为侍中，数进见问得失。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
任安,1351,後漢書,79上,永平初，遷侍中祭酒。,data/raw/後漢書/卷79上.txt,
杨政,169,後漢書,第七十四章:儒林列传上,永平初，迁侍中祭酒。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
杨政,170,後漢書,第七十四章:儒林列传上,帝善之，拜为侍中，数进见问得失。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
杨政,1351,後漢書,79上,永平初，遷侍中祭酒。,data/raw/後漢書/卷79上.txt,
杨政,1352,後漢書,79上,帝善之，拜爲侍中，数进見問得失。,data/raw/後漢書/卷79上.txt,
张兴,172,後漢書,第七十四章:儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
阴曹曾,174,後漢書,第七十四章:儒林列传上,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
阴曹曾,175,後漢書,第七十四章:儒林列传上,擢拜侍中，典领秘书近署，甚见纳异。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
阴曹曾,1356,後漢書,79上,顺帝以登明識禮乐，使持節臨太學，奏定曲律，轉拜侍中。,data/raw/後漢書/卷79上.txt,
阴曹曾,1357,後漢書,79上,擢拜侍中，典領秘書近署，甚見纳异。,data/raw/後漢書/卷79上.txt,
宋登,174,後漢書,第七十四章:儒林列传上,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
宋登,175,後漢書,第七十四章:儒林列传上,擢拜侍中，典领秘书近署，甚见纳异。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
宋登,1356,後漢書,79上,顺帝以登明識禮乐，使持節臨太學，奏定曲律，轉拜侍中。,data/raw/後漢書/卷79上.txt,
宋登,1357,後漢書,79上,擢拜侍中，典領秘書近署，甚見纳异。,data/raw/後漢書/卷79上.txt,
贾复,177,後漢書,第七章:冯岑贾列传,少为侍中、虎贲中郎将，朝廷多称其能。,data/raw/mirror/後漢書/列传/第七章-冯岑贾列传.txt,
于配天,179,後漢書,第三十一章:刘赵淳于江刘周赵列传,建光中，公车特征，至，拜侍中。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
