name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
宾婚为,拟补_待审,N,N,,,4,0,汉书,第九章-天文志.txt,四年，故大将军霍光夫人显、将军霍禹、范明友、奉车霍山及诸昆弟宾婚为侍中、诸曹、九卿、郡守皆谋反，咸伏其辜。,汉书
尉孟观,拟补_待审,N,N,,,4,0,三国志,卷11.txt,）【正始二年】，太僕陶丘一、永寧衞尉孟觀、侍中孫邕、中書侍郎王基薦寧曰：{{quote|臣聞龍鳳隱耀，應德而臻，明哲潛遁，俟時而動。,三国志
尉魏桀,拟补_待审,N,N,,,4,0,后汉书,卷9.txt,）步兵校尉魏桀、侍中朱展、射聲校尉沮儁。,后汉书
已人为,拟补_待审,N,N,,,4,0,三国志,卷62.txt,”}}此文既流行，而質已人為侍中矣。,三国志
已入为,拟补_待审,N,N,,,4,0,三国志,第十七章-是仪胡综传.txt,”此文既流行，而质已入为侍中矣。,三国志
帝即位,拟补_待审,N,N,,,4,0,后汉书,卷45.txt,和帝即位，侍中竇憲使人刺殺齊殤王子都鄉侯暢於上東門，有司畏憲，鹹委疑於暢兄弟。,后汉书
常侍者,拟补_待审,N,N,,,4,4,三国志,卷03.txt,其高選博士，才任侍中常侍者。,三国志
平子雖,拟补_待审,N,N,,,4,4,三国志,卷29.txt,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,三国志
平王凤,拟补_待审,N,N,,,4,0,汉书,卷019.txt,」）||||陽平侯王鳳為侍中衞尉，三年遷。,汉书
府戴崇,拟补_待审,N,N,,,4,0,汉书,卷099上.txt,久之，叔父成都侯商上書，願分戶邑以封莽，及長樂少府戴崇、侍中金涉、胡騎校尉箕閎、上谷都尉陽並、中郎陳湯，皆當世名士，咸為莽言，上由是賢莽。,汉书
延光中,拟补_待审,N,N,,,4,4,后汉书,第二十六章-梁统列传.txt,棠卒，子安国嗣，延光中为侍中，有罪免官，诸梁为郎吏者皆坐免。,后汉书
建平中,拟补_待审,N,N,,,4,0,全后汉文,卷三十一.txt,建平中，侍中劉歆欲立《左氏》，不先暴論大義，而輕移太常，恃其義長，詆挫諸儒，諸儒內懷不服，相與排之。,全后汉文;后汉书
弊海内,拟补_待审,N,N,,,4,0,汉书,卷093.txt,歲餘，趙皇后得立，上甚德之，乃追顯長前功，下詔曰：「前將作大匠解萬年奏請營作昌陵，罷弊海內，侍中衛尉長數白宜止徙家反故處，朕以長言下公卿，議者皆合長計。,汉书
张安世,拟补_待审,N,N,,,4,0,汉书,卷077.txt,劾奏衞將軍張安世子侍中陽都侯彭祖不下殿門，并連及安世居位無補。,汉书
